2.639872,0.005432,99.999786
5.281071,0.020750,99.999229
8.078703,0.047969,99.998238
8.927107,0.104211,99.993187
11.605498,0.195281,99.985847
10.488884,0.188791,99.983803
12.481754,0.312155,99.968742
9.427341,0.283144,99.954926
6.193517,0.209202,99.943001
4.867038,0.169341,99.939522
4.583837,0.162930,99.936890
6.414568,0.229591,99.936005
8.769984,0.310130,99.937531
11.739128,0.424314,99.934738
12.589328,0.506525,99.919159
10.780188,0.468867,99.905548
8.424490,0.382745,99.896957
11.227008,0.530203,99.888672
13.967869,0.687465,99.879105
16.601068,0.779133,99.890045
16.332966,0.687878,99.911430
13.520768,0.571231,99.910873
15.696243,0.730438,99.891891
12.858723,0.604965,99.889511
15.702175,0.765162,99.881485
15.722337,0.853736,99.852898
12.642703,0.705443,99.844688
9.950191,0.525809,99.860672
7.428893,0.372476,99.874542
8.958504,0.421803,99.889336
7.559751,0.365617,99.883255
10.229514,0.477611,99.891182
7.691530,0.368261,99.885574
9.334544,0.428597,99.894753
6.507269,0.307175,99.888771
4.151115,0.197568,99.886932
4.134304,0.199909,99.883301
4.651886,0.242055,99.864899
6.051580,0.334014,99.848022
8.282722,0.481729,99.831299
8.709292,0.490210,99.841972
11.021461,0.645980,99.828682
13.216963,0.816770,99.809601
16.026937,1.023816,99.796585
13.783538,0.846148,99.812103
10.785192,0.657213,99.814850
7.745378,0.473664,99.813530
10.363868,0.628344,99.816719
12.806037,0.760834,99.823975
14.919347,0.935408,99.804024
15.100407,1.025608,99.770149
13.312112,0.971937,99.734528
9.558477,0.720402,99.717186
7.025113,0.534888,99.711395
5.010292,0.390683,99.697365
2.520431,0.203918,99.674309
1.617197,0.136029,99.648109
-1.376279,-0.120105,99.621376
1.199746,0.107957,99.597588
3.972143,0.369702,99.569664
2.711857,0.263087,99.532715
-0.382653,-0.038357,99.501343
-1.429939,-0.148471,99.465279
-1.839010,-0.198301,99.423653
-0.526325,-0.059150,99.374428
2.445506,0.288769,99.310043
5.299450,0.653983,99.247139
4.892650,0.625229,99.193359
3.735847,0.494608,99.134933
